央视,#genre#
江西卫视,http://219.150.217.47:6610/PLTV1/1200/index.m3u8?icpid=dxrm1
湖南卫视,http://219.150.217.47:6610/PLTV1/1220/index.m3u8?icpid=dxrm1
深圳卫视,http://219.150.217.47:6610/PLTV1/1240/index.m3u8?icpid=dxrm1
四川卫视,http://219.150.217.47:6610/PLTV1/1260/index.m3u8?icpid=dxrm1
湖北卫视,http://219.150.217.47:6610/PLTV1/1280/index.m3u8?icpid=dxrm1
天津卫视,http://219.150.217.47:6610/PLTV1/1300/index.m3u8?icpid=dxrm1
云南卫视,http://219.150.217.47:6610/PLTV1/1320/index.m3u8?icpid=dxrm1
重庆卫视,http://219.150.217.47:6610/PLTV1/1340/index.m3u8?icpid=dxrm1
吉林卫视,http://219.150.217.47:6610/PLTV1/1360/index.m3u8?icpid=dxrm1
东南卫视,http://219.150.217.47:6610/PLTV1/1400/index.m3u8?icpid=dxrm1
广西卫视,http://219.150.217.47:6610/PLTV1/1440/index.m3u8?icpid=dxrm1
海南卫视,http://219.150.217.47:6610/PLTV1/1480/index.m3u8?icpid=dxrm1
甘肃卫视,http://219.150.217.47:6610/PLTV1/1500/index.m3u8?icpid=dxrm1
CCTV1,http://219.150.217.47:6610/PLTV1/940/index.m3u8?icpid=dxrm1
贵州卫视,http://219.150.217.47:6610/PLTV1/1160/index.m3u8?icpid=dxrm1
宁夏卫视,http://219.150.217.47:6610/PLTV1/1380/index.m3u8?icpid=dxrm1
内蒙古卫视,http://219.150.217.47:6610/PLTV1/1420/index.m3u8?icpid=dxrm1
山西卫视,http://219.150.217.47:6610/PLTV1/1460/index.m3u8?icpid=dxrm1
青海卫视,http://219.150.217.47:6610/PLTV1/1520/index.m3u8?icpid=dxrm1
新疆卫视,http://219.150.217.47:6610/PLTV1/1620/index.m3u8?icpid=dxrm1
西藏卫视,http://219.150.217.47:6610/PLTV1/1640/index.m3u8?icpid=dxrm1
北京卫视4K,http://123.160.108.15:6610/PLTV1/190057/1.m3u8?

河南,#genre#
河南卫视,http://219.150.217.47:6610/PLTV1/580/index.m3u8?icpid=dxrm1
河南卫视,http://219.150.217.47:6610/PLTV2/2780/index.m3u8?icpid=dxrm1
都市频道,http://219.150.217.47:6610/PLTV1/600/index.m3u8?icpid=dxrm1
民生频道,http://219.150.217.47:6610/PLTV1/620/index.m3u8?icpid=dxrm1
法治频道,http://219.150.217.47:6610/PLTV1/640/index.m3u8?icpid=dxrm1
电视剧频道,http://219.150.217.47:6610/PLTV1/660/index.m3u8?icpid=dxrm1
河南国际,http://219.150.217.47:6610/PLTV1/680/index.m3u8?icpid=dxrm1
河南曲艺,http://219.150.217.47:6610/PLTV1/700/index.m3u8?icpid=dxrm1
新闻频道,http://219.150.217.47:6610/PLTV1/720/index.m3u8?icpid=dxrm1

公共频道,http://219.150.217.47:6610/PLTV1/760/index.m3u8?icpid=dxrm1
乡村频道,http://219.150.217.47:6610/PLTV1/780/index.m3u8?icpid=dxrm1
移动戏曲,http://219.150.217.47:6610/PLTV1/800/index.m3u8?icpid=dxrm1
收藏天下,http://219.150.217.47:6610/PLTV1/820/index.m3u8?icpid=dxrm1
河南戏曲,http://219.150.217.47:6610/PLTV1/840/index.m3u8?icpid=dxrm1
中华功夫,http://219.150.217.47:6610/PLTV1/860/index.m3u8?icpid=dxrm1
大美河南,http://219.150.217.47:6610/PLTV1/880/index.m3u8?icpid=dxrm1
棋牌汇
,http://219.150.217.47:6610/PLTV1/900/index.m3u8?icpid=dxrm1
调解剧场,http://219.150.217.47:6610/PLTV1/920/index.m3u8?icpid=dxrm1
金鹰卡通,http://219.150.217.47:6610/PLTV1/1540/index.m3u8?icpid=dxrm1
嘉佳卡通
,http://219.150.217.47:6610/PLTV1/1560/index.m3u8?icpid=dxrm1
卡酷少儿,http://219.150.217.47:6610/PLTV1/1580/index.m3u8?icpid=dxrm1
哈哈炫动,http://219.150.217.47:6610/PLTV1/1600/index.m3u8?icpid=dxrm1
优漫卡通,http://219.150.217.47:6610/PLTV1/1660/index.m3u8?icpid=dxrm1
郑州新闻综合,http://219.150.217.47:6610/PLTV1/1680/index.m3u8?icpid=dxrm1
郑州商都频道,http://219.150.217.47:6610/PLTV1/1700/index.m3u8?icpid=dxrm1
郑州文体旅游,http://219.150.217.47:6610/PLTV1/1720/index.m3u8?icpid=dxrm1
郑州豫剧频道,http://219.150.217.47:6610/PLTV1/1740/index.m3u8?icpid=dxrm1
郑州妇女儿童,http://219.150.217.47:6610/PLTV1/1760/index.m3u8?icpid=dxrm1
郑州都市生活,http://219.150.217.47:6610/PLTV1/1780/index.m3u8?icpid=dxrm1
新闻综合,http://219.150.217.47:6610/PLTV1/1800/index.m3u8?icpid=dxrm1
文化旅游,http://219.150.217.47:6610/PLTV1/1820/index.m3u8?icpid=dxrm1
洛阳新闻,http://219.150.217.47:6610/PLTV1/1840/index.m3u8?icpid=dxrm1
洛阳科教频道,http://219.150.217.47:6610/PLTV1/1860/index.m3u8?icpid=dxrm1
洛阳文旅频道,http://219.150.217.47:6610/PLTV1/1880/index.m3u8?icpid=dxrm1
新闻综合,http://219.150.217.47:6610/PLTV1/1900/index.m3u8?icpid=dxrm1
城市频道,http://219.150.217.47:6610/PLTV1/1920/index.m3u8?icpid=dxrm1
公共频道,http://219.150.217.47:6610/PLTV1/1940/index.m3u8?icpid=dxrm1
新闻综合,http://219.150.217.47:6610/PLTV1/1960/index.m3u8?icpid=dxrm1
安阳文旅,http://219.150.217.47:6610/PLTV1/1980/index.m3u8?icpid=dxrm1
鹤壁新闻,http://219.150.217.47:6610/PLTV1/2000/index.m3u8?icpid=dxrm1
新乡新闻,http://219.150.217.47:6610/PLTV2/2020/index.m3u8?icpid=dxrm1
新乡公共,http://219.150.217.47:6610/PLTV2/2040/index.m3u8?icpid=dxrm1
焦作综合,http://219.150.217.47:6610/PLTV2/2060/index.m3u8?icpid=dxrm1
焦作公共,http://219.150.217.47:6610/PLTV2/2080/index.m3u8?icpid=dxrm1
大美河南
,http://219.150.217.47:6610/PLTV2/2100/index.m3u8?icpid=dxrm1
濮阳公共,http://219.150.217.47:6610/PLTV2/2120/index.m3u8?icpid=dxrm1
濮阳综合,http://219.150.217.47:6610/PLTV2/2140/index.m3u8?icpid=dxrm1
农业科教,http://219.150.217.47:6610/PLTV2/2160/index.m3u8?icpid=dxrm1
许昌综合,http://219.150.217.47:6610/PLTV2/2180/index.m3u8?icpid=dxrm1
大美河南,http://219.150.217.47:6610/PLTV2/2200/index.m3u8?icpid=dxrm1
新闻综合,http://219.150.217.47:6610/PLTV2/2220/index.m3u8?icpid=dxrm1
新闻综合,http://219.150.217.47:6610/PLTV2/2240/index.m3u8?icpid=dxrm1
新闻综合,http://219.150.217.47:6610/PLTV2/2260/index.m3u8?icpid=dxrm1
公共频道,http://219.150.217.47:6610/PLTV2/2280/index.m3u8?icpid=dxrm1
文体科教
,http://219.150.217.47:6610/PLTV2/2300/index.m3u8?icpid=dxrm1
周口新闻,http://219.150.217.47:6610/PLTV2/2320/index.m3u8?icpid=dxrm1
周口公共,http://219.150.217.47:6610/PLTV2/2340/index.m3u8?icpid=dxrm1
周口教育,http://219.150.217.47:6610/PLTV2/2360/index.m3u8?icpid=dxrm1
新闻综合,http://219.150.217.47:6610/PLTV2/2380/index.m3u8?icpid=dxrm1
科教频道,http://219.150.217.47:6610/PLTV2/2400/index.m3u8?icpid=dxrm1
公共频道,http://219.150.217.47:6610/PLTV2/2420/index.m3u8?icpid=dxrm1
南阳新闻,http://219.150.217.47:6610/PLTV2/2440/index.m3u8?icpid=dxrm1
南阳公共,http://219.150.217.47:6610/PLTV2/2460/index.m3u8?icpid=dxrm1
南阳科教,http://219.150.217.47:6610/PLTV2/2480/index.m3u8?icpid=dxrm1
信阳新闻,http://219.150.217.47:6610/PLTV2/2500/index.m3u8?icpid=dxrm1
信阳文旅,http://219.150.217.47:6610/PLTV2/2520/index.m3u8?icpid=dxrm1
信阳狮河,http://219.150.217.47:6610/PLTV2/2540/index.m3u8?icpid=dxrm1
平桥广电,http://219.150.217.47:6610/PLTV2/2560/index.m3u8?icpid=dxrm1
济源1,http://219.150.217.47:6610/PLTV2/2580/index.m3u8?icpid=dxrm1
CCTV1,http://219.150.217.47:6610/PLTV2/2600/index.m3u8?icpid=dxrm1
舞钢电视,http://219.150.217.47:6610/PLTV2/2620/index.m3u8?icpid=dxrm1
内黄综合,http://219.150.217.47:6610/PLTV2/2640/index.m3u8?icpid=dxrm1
项城综合,http://219.150.217.47:6610/PLTV2/2660/index.m3u8?icpid=dxrm1
CCTV1,http://219.150.217.47:6610/PLTV2/2680/index.m3u8?icpid=dxrm1
大美河南
,http://219.150.217.47:6610/PLTV2/2700/index.m3u8?icpid=dxrm1
CCTV1
,http://219.150.217.47:6610/PLTV2/2720/index.m3u8?icpid=dxrm1
新闻综合,http://219.150.217.47:6610/PLTV2/2740/index.m3u8?icpid=dxrm1
综合,http://219.150.217.47:6610/PLTV2/2760/index.m3u8?icpid=dxrm1
国学频道,http://219.150.217.47:6610/PLTV2/3720/index.m3u8?icpid=dxrm1
MCTV,http://219.150.217.47:6610/PLTV2/3860/index.m3u8?icpid=dxrm1
新闻综合,http://219.150.217.47:6610/PLTV2/3900/index.m3u8?icpid=dxrm1
平顶山教育,http://123.160.108.7:6610/PLTV1/190015/1.m3u8?
叶县电视,http://123.160.108.7:6610/PLTV1/190019/1.m3u8?
CCTV1,http://123.160.108.7:6610/PLTV1/190029/1.m3u8?
洛宁新闻,http://123.160.108.7:6610/PLTV1/190041/1.m3u8?
新安频道,http://123.160.108.7:6610/PLTV1/190043/1.m3u8?
华龙有线,http://123.160.108.7:6610/PLTV1/190045/1.m3u8?
鲁山新闻,http://123.160.108.7:6610/PLTV1/190053/1.m3u8?
